id_sensor,tipo_sensor,equipamento,estufa,valor,data_hora,qualidade,hora_do_dia,dia_semana,is_dia
1,Temperatura,1,Estufa 1,14.46,2025-09-04 05:38:03.242352,Critico,5,Thursday,False
1,Temperatura,1,Estufa 1,17.53,2025-09-04 06:08:03.242352,Alerta,6,Thursday,True
1,Temperatura,1,Estufa 1,34.79,2025-09-04 06:38:03.242352,Critico,6,Thursday,True
1,Temperatura,1,Estufa 1,24.65,2025-09-04 07:08:03.242352,Normal,7,Thursday,True
1,Temperatura,1,Estufa 1,26.41,2025-09-04 07:38:03.242352,Normal,7,Thursday,True
1,Temperatura,1,Estufa 1,10.0,2025-09-04 08:08:03.242352,Critico,8,Thursday,True
1,Temperatura,1,Estufa 1,11.36,2025-09-04 08:38:03.242352,Critico,8,Thursday,True
1,Temperatura,1,Estufa 1,26.67,2025-09-04 09:08:03.242352,Normal,9,Thursday,True
1,Temperatura,1,Estufa 1,19.09,2025-09-04 09:38:03.242352,Normal,9,Thursday,True
1,Temperatura,1,Estufa 1,28.25,2025-09-04 10:08:03.242352,Alerta,10,Thursday,True
1,Temperatura,1,Estufa 1,22.4,2025-09-04 10:38:03.242352,Normal,10,Thursday,True
1,Temperatura,1,Estufa 1,24.25,2025-09-04 11:08:03.242352,Normal,11,Thursday,True
1,Temperatura,1,Estufa 1,22.39,2025-09-04 11:38:03.242352,Normal,11,Thursday,True
1,Temperatura,1,Estufa 1,37.11,2025-09-04 12:08:03.242352,Critico,12,Thursday,True
1,Temperatura,1,Estufa 1,13.04,2025-09-04 12:38:03.242352,Critico,12,Thursday,True
1,Temperatura,1,Estufa 1,19.65,2025-09-04 13:08:03.242352,Normal,13,Thursday,True
1,Temperatura,1,Estufa 1,14.99,2025-09-04 13:38:03.242352,Critico,13,Thursday,True
1,Temperatura,1,Estufa 1,18.67,2025-09-04 14:08:03.242352,Normal,14,Thursday,True
1,Temperatura,1,Estufa 1,16.14,2025-09-04 14:38:03.242352,Alerta,14,Thursday,True
1,Temperatura,1,Estufa 1,14.24,2025-09-04 15:08:03.242352,Critico,15,Thursday,True
1,Temperatura,1,Estufa 1,18.03,2025-09-04 15:38:03.242352,Normal,15,Thursday,True
1,Temperatura,1,Estufa 1,27.18,2025-09-04 16:08:03.242352,Normal,16,Thursday,True
1,Temperatura,1,Estufa 1,30.43,2025-09-04 16:38:03.242352,Alerta,16,Thursday,True
1,Temperatura,1,Estufa 1,27.03,2025-09-04 17:08:03.242352,Normal,17,Thursday,True
1,Temperatura,1,Estufa 1,25.31,2025-09-04 17:38:03.242352,Normal,17,Thursday,True
1,Temperatura,1,Estufa 1,29.21,2025-09-04 18:08:03.242352,Alerta,18,Thursday,True
1,Temperatura,1,Estufa 1,17.13,2025-09-04 18:38:03.242352,Alerta,18,Thursday,True
1,Temperatura,1,Estufa 1,15.4,2025-09-04 19:08:03.242352,Alerta,19,Thursday,False
1,Temperatura,1,Estufa 1,16.7,2025-09-04 19:38:03.242352,Alerta,19,Thursday,False
1,Temperatura,1,Estufa 1,24.29,2025-09-04 20:08:03.242352,Normal,20,Thursday,False
1,Temperatura,1,Estufa 1,13.2,2025-09-04 20:38:03.242352,Critico,20,Thursday,False
1,Temperatura,1,Estufa 1,11.85,2025-09-04 21:08:03.242352,Critico,21,Thursday,False
1,Temperatura,1,Estufa 1,35.52,2025-09-04 21:38:03.242352,Critico,21,Thursday,False
1,Temperatura,1,Estufa 1,18.74,2025-09-04 22:08:03.242352,Normal,22,Thursday,False
1,Temperatura,1,Estufa 1,17.28,2025-09-04 22:38:03.242352,Alerta,22,Thursday,False
1,Temperatura,1,Estufa 1,23.72,2025-09-04 23:08:03.242352,Normal,23,Thursday,False
1,Temperatura,1,Estufa 1,38.33,2025-09-04 23:38:03.242352,Critico,23,Thursday,False
1,Temperatura,1,Estufa 1,25.32,2025-09-05 00:08:03.242352,Normal,0,Friday,False
1,Temperatura,1,Estufa 1,10.0,2025-09-05 00:38:03.242352,Critico,0,Friday,False
1,Temperatura,1,Estufa 1,19.12,2025-09-05 01:08:03.242352,Normal,1,Friday,False
1,Temperatura,1,Estufa 1,22.32,2025-09-05 01:38:03.242352,Normal,1,Friday,False
1,Temperatura,1,Estufa 1,25.54,2025-09-05 02:08:03.242352,Normal,2,Friday,False
1,Temperatura,1,Estufa 1,18.27,2025-09-05 02:38:03.242352,Normal,2,Friday,False
1,Temperatura,1,Estufa 1,19.73,2025-09-05 03:08:03.242352,Normal,3,Friday,False
1,Temperatura,1,Estufa 1,15.13,2025-09-05 03:38:03.242352,Alerta,3,Friday,False
1,Temperatura,1,Estufa 1,14.68,2025-09-05 04:08:03.242352,Critico,4,Friday,False
1,Temperatura,1,Estufa 1,24.73,2025-09-05 04:38:03.242352,Normal,4,Friday,False
1,Temperatura,1,Estufa 1,27.44,2025-09-05 05:08:03.242352,Normal,5,Friday,False
1,Temperatura,1,Estufa 1,20.3,2025-09-05 05:38:03.242352,Normal,5,Friday,False
1,Temperatura,1,Estufa 1,33.68,2025-09-05 06:08:03.242352,Critico,6,Friday,True
1,Temperatura,1,Estufa 1,29.83,2025-09-05 06:38:03.242352,Alerta,6,Friday,True
1,Temperatura,1,Estufa 1,23.79,2025-09-05 07:08:03.242352,Normal,7,Friday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-05 07:38:03.242352,Critico,7,Friday,True
1,Temperatura,1,Estufa 1,15.99,2025-09-05 08:08:03.242352,Alerta,8,Friday,True
1,Temperatura,1,Estufa 1,27.45,2025-09-05 08:38:03.242352,Normal,8,Friday,True
1,Temperatura,1,Estufa 1,37.05,2025-09-05 09:08:03.242352,Critico,9,Friday,True
1,Temperatura,1,Estufa 1,11.94,2025-09-05 09:38:03.242352,Critico,9,Friday,True
1,Temperatura,1,Estufa 1,32.59,2025-09-05 10:08:03.242352,Critico,10,Friday,True
1,Temperatura,1,Estufa 1,28.19,2025-09-05 10:38:03.242352,Alerta,10,Friday,True
1,Temperatura,1,Estufa 1,25.87,2025-09-05 11:08:03.242352,Normal,11,Friday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-05 11:38:03.242352,Critico,11,Friday,True
1,Temperatura,1,Estufa 1,15.74,2025-09-05 12:08:03.242352,Alerta,12,Friday,True
1,Temperatura,1,Estufa 1,12.39,2025-09-05 12:38:03.242352,Critico,12,Friday,True
1,Temperatura,1,Estufa 1,29.81,2025-09-05 13:08:03.242352,Alerta,13,Friday,True
1,Temperatura,1,Estufa 1,18.34,2025-09-05 13:38:03.242352,Normal,13,Friday,True
1,Temperatura,1,Estufa 1,24.55,2025-09-05 14:08:03.242352,Normal,14,Friday,True
1,Temperatura,1,Estufa 1,22.81,2025-09-05 14:38:03.242352,Normal,14,Friday,True
1,Temperatura,1,Estufa 1,37.05,2025-09-05 15:08:03.242352,Critico,15,Friday,True
1,Temperatura,1,Estufa 1,33.16,2025-09-05 15:38:03.242352,Critico,15,Friday,True
1,Temperatura,1,Estufa 1,29.64,2025-09-05 16:08:03.242352,Alerta,16,Friday,True
1,Temperatura,1,Estufa 1,24.48,2025-09-05 16:38:03.242352,Normal,16,Friday,True
1,Temperatura,1,Estufa 1,30.74,2025-09-05 17:08:03.242352,Alerta,17,Friday,True
1,Temperatura,1,Estufa 1,28.25,2025-09-05 17:38:03.242352,Alerta,17,Friday,True
1,Temperatura,1,Estufa 1,33.48,2025-09-05 18:08:03.242352,Critico,18,Friday,True
1,Temperatura,1,Estufa 1,23.45,2025-09-05 18:38:03.242352,Normal,18,Friday,True
1,Temperatura,1,Estufa 1,19.02,2025-09-05 19:08:03.242352,Normal,19,Friday,False
1,Temperatura,1,Estufa 1,18.7,2025-09-05 19:38:03.242352,Normal,19,Friday,False
1,Temperatura,1,Estufa 1,13.35,2025-09-05 20:08:03.242352,Critico,20,Friday,False
1,Temperatura,1,Estufa 1,23.73,2025-09-05 20:38:03.242352,Normal,20,Friday,False
1,Temperatura,1,Estufa 1,34.56,2025-09-05 21:08:03.242352,Critico,21,Friday,False
1,Temperatura,1,Estufa 1,22.28,2025-09-05 21:38:03.242352,Normal,21,Friday,False
1,Temperatura,1,Estufa 1,21.08,2025-09-05 22:08:03.242352,Normal,22,Friday,False
1,Temperatura,1,Estufa 1,15.18,2025-09-05 22:38:03.242352,Alerta,22,Friday,False
1,Temperatura,1,Estufa 1,20.15,2025-09-05 23:08:03.242352,Normal,23,Friday,False
1,Temperatura,1,Estufa 1,32.85,2025-09-05 23:38:03.242352,Critico,23,Friday,False
1,Temperatura,1,Estufa 1,18.24,2025-09-06 00:08:03.242352,Normal,0,Saturday,False
1,Temperatura,1,Estufa 1,21.45,2025-09-06 00:38:03.242352,Normal,0,Saturday,False
1,Temperatura,1,Estufa 1,24.27,2025-09-06 01:08:03.242352,Normal,1,Saturday,False
1,Temperatura,1,Estufa 1,31.68,2025-09-06 01:38:03.242352,Alerta,1,Saturday,False
1,Temperatura,1,Estufa 1,23.13,2025-09-06 02:08:03.242352,Normal,2,Saturday,False
1,Temperatura,1,Estufa 1,23.54,2025-09-06 02:38:03.242352,Normal,2,Saturday,False
1,Temperatura,1,Estufa 1,21.88,2025-09-06 03:08:03.242352,Normal,3,Saturday,False
1,Temperatura,1,Estufa 1,12.66,2025-09-06 03:38:03.242352,Critico,3,Saturday,False
1,Temperatura,1,Estufa 1,22.12,2025-09-06 04:08:03.242352,Normal,4,Saturday,False
1,Temperatura,1,Estufa 1,22.56,2025-09-06 04:38:03.242352,Normal,4,Saturday,False
1,Temperatura,1,Estufa 1,34.57,2025-09-06 05:08:03.242352,Critico,5,Saturday,False
1,Temperatura,1,Estufa 1,21.29,2025-09-06 05:38:03.242352,Normal,5,Saturday,False
1,Temperatura,1,Estufa 1,31.06,2025-09-06 06:08:03.242352,Alerta,6,Saturday,True
1,Temperatura,1,Estufa 1,29.05,2025-09-06 06:38:03.242352,Alerta,6,Saturday,True
1,Temperatura,1,Estufa 1,22.24,2025-09-06 07:08:03.242352,Normal,7,Saturday,True
1,Temperatura,1,Estufa 1,36.11,2025-09-06 07:38:03.242352,Critico,7,Saturday,True
1,Temperatura,1,Estufa 1,33.77,2025-09-06 08:08:03.242352,Critico,8,Saturday,True
1,Temperatura,1,Estufa 1,34.0,2025-09-06 08:38:03.242352,Critico,8,Saturday,True
1,Temperatura,1,Estufa 1,23.8,2025-09-06 09:08:03.242352,Normal,9,Saturday,True
1,Temperatura,1,Estufa 1,37.67,2025-09-06 09:38:03.242352,Critico,9,Saturday,True
1,Temperatura,1,Estufa 1,20.84,2025-09-06 10:08:03.242352,Normal,10,Saturday,True
1,Temperatura,1,Estufa 1,32.78,2025-09-06 10:38:03.242352,Critico,10,Saturday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-06 11:08:03.242352,Critico,11,Saturday,True
1,Temperatura,1,Estufa 1,23.31,2025-09-06 11:38:03.242352,Normal,11,Saturday,True
1,Temperatura,1,Estufa 1,25.86,2025-09-06 12:08:03.242352,Normal,12,Saturday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-06 12:38:03.242352,Critico,12,Saturday,True
1,Temperatura,1,Estufa 1,26.23,2025-09-06 13:08:03.242352,Normal,13,Saturday,True
1,Temperatura,1,Estufa 1,19.95,2025-09-06 13:38:03.242352,Normal,13,Saturday,True
1,Temperatura,1,Estufa 1,29.67,2025-09-06 14:08:03.242352,Alerta,14,Saturday,True
1,Temperatura,1,Estufa 1,22.88,2025-09-06 14:38:03.242352,Normal,14,Saturday,True
1,Temperatura,1,Estufa 1,15.64,2025-09-06 15:08:03.242352,Alerta,15,Saturday,True
1,Temperatura,1,Estufa 1,23.74,2025-09-06 15:38:03.242352,Normal,15,Saturday,True
1,Temperatura,1,Estufa 1,38.55,2025-09-06 16:08:03.242352,Critico,16,Saturday,True
1,Temperatura,1,Estufa 1,24.55,2025-09-06 16:38:03.242352,Normal,16,Saturday,True
1,Temperatura,1,Estufa 1,27.32,2025-09-06 17:08:03.242352,Normal,17,Saturday,True
1,Temperatura,1,Estufa 1,34.13,2025-09-06 17:38:03.242352,Critico,17,Saturday,True
1,Temperatura,1,Estufa 1,21.87,2025-09-06 18:08:03.242352,Normal,18,Saturday,True
1,Temperatura,1,Estufa 1,30.62,2025-09-06 18:38:03.242352,Alerta,18,Saturday,True
1,Temperatura,1,Estufa 1,28.79,2025-09-06 19:08:03.242352,Alerta,19,Saturday,False
1,Temperatura,1,Estufa 1,10.0,2025-09-06 19:38:03.242352,Critico,19,Saturday,False
1,Temperatura,1,Estufa 1,23.18,2025-09-06 20:08:03.242352,Normal,20,Saturday,False
1,Temperatura,1,Estufa 1,16.88,2025-09-06 20:38:03.242352,Alerta,20,Saturday,False
1,Temperatura,1,Estufa 1,27.61,2025-09-06 21:08:03.242352,Normal,21,Saturday,False
1,Temperatura,1,Estufa 1,17.52,2025-09-06 21:38:03.242352,Alerta,21,Saturday,False
1,Temperatura,1,Estufa 1,17.1,2025-09-06 22:08:03.242352,Alerta,22,Saturday,False
1,Temperatura,1,Estufa 1,26.31,2025-09-06 22:38:03.242352,Normal,22,Saturday,False
1,Temperatura,1,Estufa 1,25.19,2025-09-06 23:08:03.242352,Normal,23,Saturday,False
1,Temperatura,1,Estufa 1,24.95,2025-09-06 23:38:03.242352,Normal,23,Saturday,False
1,Temperatura,1,Estufa 1,25.43,2025-09-07 00:08:03.242352,Normal,0,Sunday,False
1,Temperatura,1,Estufa 1,31.04,2025-09-07 00:38:03.242352,Alerta,0,Sunday,False
1,Temperatura,1,Estufa 1,24.86,2025-09-07 01:08:03.242352,Normal,1,Sunday,False
1,Temperatura,1,Estufa 1,37.82,2025-09-07 01:38:03.242352,Critico,1,Sunday,False
1,Temperatura,1,Estufa 1,20.13,2025-09-07 02:08:03.242352,Normal,2,Sunday,False
1,Temperatura,1,Estufa 1,33.03,2025-09-07 02:38:03.242352,Critico,2,Sunday,False
1,Temperatura,1,Estufa 1,26.07,2025-09-07 03:08:03.242352,Normal,3,Sunday,False
1,Temperatura,1,Estufa 1,17.75,2025-09-07 03:38:03.242352,Alerta,3,Sunday,False
1,Temperatura,1,Estufa 1,26.99,2025-09-07 04:08:03.242352,Normal,4,Sunday,False
1,Temperatura,1,Estufa 1,18.83,2025-09-07 04:38:03.242352,Normal,4,Sunday,False
1,Temperatura,1,Estufa 1,27.64,2025-09-07 05:08:03.242352,Normal,5,Sunday,False
1,Temperatura,1,Estufa 1,29.5,2025-09-07 05:38:03.242352,Alerta,5,Sunday,False
1,Temperatura,1,Estufa 1,34.38,2025-09-07 06:08:03.242352,Critico,6,Sunday,True
1,Temperatura,1,Estufa 1,21.66,2025-09-07 06:38:03.242352,Normal,6,Sunday,True
1,Temperatura,1,Estufa 1,33.18,2025-09-07 07:08:03.242352,Critico,7,Sunday,True
1,Temperatura,1,Estufa 1,35.63,2025-09-07 07:38:03.242352,Critico,7,Sunday,True
1,Temperatura,1,Estufa 1,22.15,2025-09-07 08:08:03.242352,Normal,8,Sunday,True
1,Temperatura,1,Estufa 1,37.22,2025-09-07 08:38:03.242352,Critico,8,Sunday,True
1,Temperatura,1,Estufa 1,26.18,2025-09-07 09:08:03.242352,Normal,9,Sunday,True
1,Temperatura,1,Estufa 1,11.86,2025-09-07 09:38:03.242352,Critico,9,Sunday,True
1,Temperatura,1,Estufa 1,11.33,2025-09-07 10:08:03.242352,Critico,10,Sunday,True
1,Temperatura,1,Estufa 1,30.24,2025-09-07 10:38:03.242352,Alerta,10,Sunday,True
1,Temperatura,1,Estufa 1,32.75,2025-09-07 11:08:03.242352,Critico,11,Sunday,True
1,Temperatura,1,Estufa 1,32.36,2025-09-07 11:38:03.242352,Critico,11,Sunday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-07 12:08:03.242352,Critico,12,Sunday,True
1,Temperatura,1,Estufa 1,30.78,2025-09-07 12:38:03.242352,Alerta,12,Sunday,True
1,Temperatura,1,Estufa 1,39.42,2025-09-07 13:08:03.242352,Critico,13,Sunday,True
1,Temperatura,1,Estufa 1,29.11,2025-09-07 13:38:03.242352,Alerta,13,Sunday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-07 14:08:03.242352,Critico,14,Sunday,True
1,Temperatura,1,Estufa 1,34.46,2025-09-07 14:38:03.242352,Critico,14,Sunday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-07 15:08:03.242352,Critico,15,Sunday,True
1,Temperatura,1,Estufa 1,24.28,2025-09-07 15:38:03.242352,Normal,15,Sunday,True
1,Temperatura,1,Estufa 1,33.6,2025-09-07 16:08:03.242352,Critico,16,Sunday,True
1,Temperatura,1,Estufa 1,29.36,2025-09-07 16:38:03.242352,Alerta,16,Sunday,True
1,Temperatura,1,Estufa 1,34.99,2025-09-07 17:08:03.242352,Critico,17,Sunday,True
1,Temperatura,1,Estufa 1,33.54,2025-09-07 17:38:03.242352,Critico,17,Sunday,True
1,Temperatura,1,Estufa 1,30.27,2025-09-07 18:08:03.242352,Alerta,18,Sunday,True
1,Temperatura,1,Estufa 1,25.62,2025-09-07 18:38:03.242352,Normal,18,Sunday,True
1,Temperatura,1,Estufa 1,16.13,2025-09-07 19:08:03.242352,Alerta,19,Sunday,False
1,Temperatura,1,Estufa 1,21.47,2025-09-07 19:38:03.242352,Normal,19,Sunday,False
1,Temperatura,1,Estufa 1,27.98,2025-09-07 20:08:03.242352,Normal,20,Sunday,False
1,Temperatura,1,Estufa 1,26.02,2025-09-07 20:38:03.242352,Normal,20,Sunday,False
1,Temperatura,1,Estufa 1,18.72,2025-09-07 21:08:03.242352,Normal,21,Sunday,False
1,Temperatura,1,Estufa 1,11.14,2025-09-07 21:38:03.242352,Critico,21,Sunday,False
1,Temperatura,1,Estufa 1,26.87,2025-09-07 22:08:03.242352,Normal,22,Sunday,False
1,Temperatura,1,Estufa 1,20.53,2025-09-07 22:38:03.242352,Normal,22,Sunday,False
1,Temperatura,1,Estufa 1,25.71,2025-09-07 23:08:03.242352,Normal,23,Sunday,False
1,Temperatura,1,Estufa 1,25.24,2025-09-07 23:38:03.242352,Normal,23,Sunday,False
1,Temperatura,1,Estufa 1,19.23,2025-09-08 00:08:03.242352,Normal,0,Monday,False
1,Temperatura,1,Estufa 1,26.73,2025-09-08 00:38:03.242352,Normal,0,Monday,False
1,Temperatura,1,Estufa 1,27.75,2025-09-08 01:08:03.242352,Normal,1,Monday,False
1,Temperatura,1,Estufa 1,16.63,2025-09-08 01:38:03.242352,Alerta,1,Monday,False
1,Temperatura,1,Estufa 1,30.21,2025-09-08 02:08:03.242352,Alerta,2,Monday,False
1,Temperatura,1,Estufa 1,18.06,2025-09-08 02:38:03.242352,Normal,2,Monday,False
1,Temperatura,1,Estufa 1,20.26,2025-09-08 03:08:03.242352,Normal,3,Monday,False
1,Temperatura,1,Estufa 1,27.52,2025-09-08 03:38:03.242352,Normal,3,Monday,False
1,Temperatura,1,Estufa 1,27.51,2025-09-08 04:08:03.242352,Normal,4,Monday,False
1,Temperatura,1,Estufa 1,27.52,2025-09-08 04:38:03.242352,Normal,4,Monday,False
1,Temperatura,1,Estufa 1,40.0,2025-09-08 05:08:03.242352,Critico,5,Monday,False
1,Temperatura,1,Estufa 1,27.8,2025-09-08 05:38:03.242352,Normal,5,Monday,False
1,Temperatura,1,Estufa 1,15.88,2025-09-08 06:08:03.242352,Alerta,6,Monday,True
1,Temperatura,1,Estufa 1,17.37,2025-09-08 06:38:03.242352,Alerta,6,Monday,True
1,Temperatura,1,Estufa 1,20.27,2025-09-08 07:08:03.242352,Normal,7,Monday,True
1,Temperatura,1,Estufa 1,30.05,2025-09-08 07:38:03.242352,Alerta,7,Monday,True
1,Temperatura,1,Estufa 1,36.5,2025-09-08 08:08:03.242352,Critico,8,Monday,True
1,Temperatura,1,Estufa 1,15.41,2025-09-08 08:38:03.242352,Alerta,8,Monday,True
1,Temperatura,1,Estufa 1,30.52,2025-09-08 09:08:03.242352,Alerta,9,Monday,True
1,Temperatura,1,Estufa 1,29.03,2025-09-08 09:38:03.242352,Alerta,9,Monday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-08 10:08:03.242352,Critico,10,Monday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-08 10:38:03.242352,Critico,10,Monday,True
1,Temperatura,1,Estufa 1,20.74,2025-09-08 11:08:03.242352,Normal,11,Monday,True
1,Temperatura,1,Estufa 1,36.06,2025-09-08 11:38:03.242352,Critico,11,Monday,True
1,Temperatura,1,Estufa 1,22.27,2025-09-08 12:08:03.242352,Normal,12,Monday,True
1,Temperatura,1,Estufa 1,29.11,2025-09-08 12:38:03.242352,Alerta,12,Monday,True
1,Temperatura,1,Estufa 1,38.48,2025-09-08 13:08:03.242352,Critico,13,Monday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-08 13:38:03.242352,Critico,13,Monday,True
1,Temperatura,1,Estufa 1,25.48,2025-09-08 14:08:03.242352,Normal,14,Monday,True
1,Temperatura,1,Estufa 1,27.65,2025-09-08 14:38:03.242352,Normal,14,Monday,True
1,Temperatura,1,Estufa 1,36.02,2025-09-08 15:08:03.242352,Critico,15,Monday,True
1,Temperatura,1,Estufa 1,16.34,2025-09-08 15:38:03.242352,Alerta,15,Monday,True
1,Temperatura,1,Estufa 1,33.24,2025-09-08 16:08:03.242352,Critico,16,Monday,True
1,Temperatura,1,Estufa 1,32.22,2025-09-08 16:38:03.242352,Critico,16,Monday,True
1,Temperatura,1,Estufa 1,11.96,2025-09-08 17:08:03.242352,Critico,17,Monday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-08 17:38:03.242352,Critico,17,Monday,True
1,Temperatura,1,Estufa 1,35.75,2025-09-08 18:08:03.242352,Critico,18,Monday,True
1,Temperatura,1,Estufa 1,19.79,2025-09-08 18:38:03.242352,Normal,18,Monday,True
1,Temperatura,1,Estufa 1,25.88,2025-09-08 19:08:03.242352,Normal,19,Monday,False
1,Temperatura,1,Estufa 1,21.64,2025-09-08 19:38:03.242352,Normal,19,Monday,False
1,Temperatura,1,Estufa 1,12.14,2025-09-08 20:08:03.242352,Critico,20,Monday,False
1,Temperatura,1,Estufa 1,21.97,2025-09-08 20:38:03.242352,Normal,20,Monday,False
1,Temperatura,1,Estufa 1,25.35,2025-09-08 21:08:03.242352,Normal,21,Monday,False
1,Temperatura,1,Estufa 1,28.45,2025-09-08 21:38:03.242352,Alerta,21,Monday,False
1,Temperatura,1,Estufa 1,30.26,2025-09-08 22:08:03.242352,Alerta,22,Monday,False
1,Temperatura,1,Estufa 1,10.0,2025-09-08 22:38:03.242352,Critico,22,Monday,False
1,Temperatura,1,Estufa 1,24.26,2025-09-08 23:08:03.242352,Normal,23,Monday,False
1,Temperatura,1,Estufa 1,23.55,2025-09-08 23:38:03.242352,Normal,23,Monday,False
1,Temperatura,1,Estufa 1,22.66,2025-09-09 00:08:03.242352,Normal,0,Tuesday,False
1,Temperatura,1,Estufa 1,34.76,2025-09-09 00:38:03.242352,Critico,0,Tuesday,False
1,Temperatura,1,Estufa 1,27.95,2025-09-09 01:08:03.242352,Normal,1,Tuesday,False
1,Temperatura,1,Estufa 1,19.62,2025-09-09 01:38:03.242352,Normal,1,Tuesday,False
1,Temperatura,1,Estufa 1,30.52,2025-09-09 02:08:03.242352,Alerta,2,Tuesday,False
1,Temperatura,1,Estufa 1,36.54,2025-09-09 02:38:03.242352,Critico,2,Tuesday,False
1,Temperatura,1,Estufa 1,31.09,2025-09-09 03:08:03.242352,Alerta,3,Tuesday,False
1,Temperatura,1,Estufa 1,10.0,2025-09-09 03:38:03.242352,Critico,3,Tuesday,False
1,Temperatura,1,Estufa 1,23.51,2025-09-09 04:08:03.242352,Normal,4,Tuesday,False
1,Temperatura,1,Estufa 1,32.26,2025-09-09 04:38:03.242352,Critico,4,Tuesday,False
1,Temperatura,1,Estufa 1,22.39,2025-09-09 05:08:03.242352,Normal,5,Tuesday,False
1,Temperatura,1,Estufa 1,28.15,2025-09-09 05:38:03.242352,Alerta,5,Tuesday,False
1,Temperatura,1,Estufa 1,37.58,2025-09-09 06:08:03.242352,Critico,6,Tuesday,True
1,Temperatura,1,Estufa 1,27.37,2025-09-09 06:38:03.242352,Normal,6,Tuesday,True
1,Temperatura,1,Estufa 1,32.57,2025-09-09 07:08:03.242352,Critico,7,Tuesday,True
1,Temperatura,1,Estufa 1,13.48,2025-09-09 07:38:03.242352,Critico,7,Tuesday,True
1,Temperatura,1,Estufa 1,26.78,2025-09-09 08:08:03.242352,Normal,8,Tuesday,True
1,Temperatura,1,Estufa 1,31.41,2025-09-09 08:38:03.242352,Alerta,8,Tuesday,True
1,Temperatura,1,Estufa 1,25.44,2025-09-09 09:08:03.242352,Normal,9,Tuesday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-09 09:38:03.242352,Critico,9,Tuesday,True
1,Temperatura,1,Estufa 1,24.35,2025-09-09 10:08:03.242352,Normal,10,Tuesday,True
1,Temperatura,1,Estufa 1,30.29,2025-09-09 10:38:03.242352,Alerta,10,Tuesday,True
1,Temperatura,1,Estufa 1,33.71,2025-09-09 11:08:03.242352,Critico,11,Tuesday,True
1,Temperatura,1,Estufa 1,40.0,2025-09-09 11:38:03.242352,Critico,11,Tuesday,True
1,Temperatura,1,Estufa 1,24.31,2025-09-09 12:08:03.242352,Normal,12,Tuesday,True
1,Temperatura,1,Estufa 1,39.91,2025-09-09 12:38:03.242352,Critico,12,Tuesday,True
1,Temperatura,1,Estufa 1,32.99,2025-09-09 13:08:03.242352,Critico,13,Tuesday,True
1,Temperatura,1,Estufa 1,27.04,2025-09-09 13:38:03.242352,Normal,13,Tuesday,True
1,Temperatura,1,Estufa 1,35.7,2025-09-09 14:08:03.242352,Critico,14,Tuesday,True
1,Temperatura,1,Estufa 1,34.12,2025-09-09 14:38:03.242352,Critico,14,Tuesday,True
